TradeType,DistrictOfficeCode,DistrictOfficeName,CountryOfOrigin,CountryOfOriginName,CountryOfDestination,CountryOfDestinationName,Tariff,StatisticalUnit,TransportCode,TransportCodeDescription,YearMonth,CalendarYear,Section,SectionAndDescription,Chapter,ChapterAndDescription,TariffAndDescription,StatisticalQuantity,CustomsValue,WorldRegion
Imports,GRB,Groblers Bridge,BW,Botswana,ZA,South Africa,02101900,KG,03,Road,201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02101900 - Other,11,2015,AFRICA
Imports,FBB,Ficksburg Bridge,LS,Lesotho,ZA,South Africa,02071300,KG,03,Road,201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071300 - Cuts And Offal, Fresh Or Chilled",140,18340,AFRICA
Imports,FBB,Ficksburg Bridge,LS,Lesotho,ZA,South Africa,02032200,KG,03,Road,201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02032200 - Hams, Shoulders And Cuts Thereof, With Bone In",123,19138,AFRICA
Imports,JHB,Johannesburg,AU,Australia,ZA,South Africa,02023000,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02023000 - Boneless,7893.8,75539,OCEANIA
Imports,GRB,Groblers Bridge,BW,Botswana,ZA,South Africa,02012000,KG,03,Road,201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02012000 - Other Cuts With Bone In,4,1825,AFRICA
Imports,FBB,Ficksburg Bridge,LS,Lesotho,ZA,South Africa,02071490,KG,03,Road,201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,3,62821,AFRICA
Imports,DBN,Durban,ZA,South Africa,ZA,South Africa,02032990,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,14999.96,461972,AFRICA
Imports,DBN,Durban,UY,Uruguay,ZA,South Africa,02023000,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02023000 - Boneless,78580.8,1219764,AMERICA
Imports,DBN,Durban,US,United States,ZA,South Africa,02072700,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",125112.59,725487,AMERICA
Imports,DBN,Durban,NZ,New Zealand,ZA,South Africa,02069000,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",105819.66,1052155,OCEANIA
Imports,DBN,Durban,NZ,New Zealand,ZA,South Africa,02044300,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02044300 - Boneless,24675,189210,OCEANIA
Imports,DBN,Durban,NZ,New Zealand,ZA,South Africa,02062200,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02062200 - Livers,97964.54,660056,OCEANIA
Imports,DBN,Durban,US,United States,ZA,South Africa,02071490,KG,00,Transport mode not specified (Unknown - Other),201008,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,140400,808449,AMERICA
